id	review	score
0	Dobrze,że nie przetłumaczyli tytułu na Kra Kra Kraj :)	8
1	9/10 - tak strasznie, cholernie, bardzo czarujący Musicale - bardzo lubię. Emma Stone - uwielbiam. Damien Chazelle - ogromny kredyt zaufania. Ryan Gosling - odczuwam już lekki przesyt jego osobą, ale w połączeniu z Emmą, biorę w ciemno. Powiedzieć, że na „La La Land” czekałem więc z dużym podekscytowaniem to nie powiedzieć niczego. Poziom dużego podekscytowania to osiągnąłem już w okolicy sierpnia, po pierwszej fali ...	9
2	Rozczarowanie Dostałam zaproszenie na pokaz przedpremierowy nic wcześniej o tym filmie nie słysząc. Parę dni przed seansem zerknęłam pobieżnie na opis i zdążyłam przeczytać tylko, ze to dramat/romans. Uznałam ze to pewnie ckliwy i banalny wyciskacz łez, ktory głownie bedzie mnie śmieszył, ale przynajmniej popatrzę sobie na ślicznego Ryana. ;-) W dniu pokazu usłyszałam, ze film dostał wlasnie 7 globów, ze to ...	5
3	to chyba żart? Przepraszam czy oceny gry aktorskiej Emmy i Ryana to jakiś żart???	10
4	Że że żenujące Miałam bardzo duże oczekiwania co do tego filmu. Zawiodłam sie jednak bardzo. Po 25 minutach czekałam tylko na koniec. Gra aktorska fatalna! Na pierwszym planie miłość, w zamierzeniu pewnie namietna i spontaniczna, a co dostajemy? Dwojke ludzi ktorzy przez cale dwie godziny zachowuja sie jakby byli sobie obcy. Nie widac miedzy nimi zadnnych relacji. Ryan ciagle z ta sama mina, Emma przerysowuje, widac ...	3
5	Nie bój się musicalu :) Nie jestes fanem musicalu, bo wstawki muzyczne denerwuja Cię niczym reklamy w najbardziej wyczekiwanym momencie ? Też nie jestem fanem tego gatunku,ale wczoraj obejrzałem i jestem zachwycony. Wszystkie składniki filmu są smacznie skomponowane. Nie ma tu nachalnych prób przypodobania się komukolwiek i chyba dzięki temu proste składodowe w idealnie dobranych proporcjach otwierają przestrzeń ...	10
6	Co jest grane? NU NU NUDA Jak można stworzyć wizualnie tak dopracowany -klimatyczny film (wystarczy spojrzec na zdj) a oglądajac go nie czułam ŻADNEGO klimatu. NIE zapamiętałam ŻADNEJ piosenki. NIE zapamiętałam ŻADNEJ twarzy drugoplanowej. NIE pourszyła mnie historia bohaterów. NU NU NUDA. WIELKIE ROZCZAROWANIE.	3
7	Porażka niestety Byliśmy na nim z żoną - chce się po obejrzeniu powiedzieć wtf - ni to musical ni to romans, sceny tańca rażą sztucznością a szczytem jest Gosling unoszący się w powietrze ze Stone - mimo, że żona jest jego fanką a ja jej , było to niestrawne	4
8	Najlepszy film 2016? Nie dla mnie. Zawód tym większy, że reżyserem jest Damien Chazelle, gość od Whiplash, czyli filmu, który wprawił mnie w emocjonalną drżączkę. A wobec La La Land pozostałam totalnie obojętna, co jest niewiarygodne, zważywszy na fabułę, której istotnym elementem jest hołd składany kinu, a akcja toczy się w Los Angeles i częściowo właśnie w środowisku filmowym, a takie autotematyczne motywy lubię ...	6
9	końcówka to majstersztyk Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	9
10	To i ja dodam jeszcze coś od siebie, że przez cały film ziewałam...Pierwsza scena totalnie mnie nie porwała, te śpiewy takie sztuczne. Fakt muzyka była interesująca i takiego zakończenia się nie spodziewałam, ale nadal nie rozumiem za co ten film otrzymał tyle nagród?! Wiem natomiast jedno, że już nie wybiorę się na żaden musical, chrzanić muzykę, taniec i śpiew, jeśli 2h mam się nudzić...no way!	3
11	10/10 Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	10
12	Knot. Wczoraj widziałem. Knot, jakiego dawno nie widziałem. Te nagrody to za co niby?	3
13	Czy tylko mnie zdołował ten film? Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	9
14	Kolejna produkcja z przygotowaną w mediach otoczką genialności i ochami, achami 100 razy większymi niz sam film A potem idzie człowiek do kina i czeka na koniec. Jak mnie to wkurza, że wielu ludzi ogląda to to i wydaje im się, że film był dobry, no bo przecież innym tak się podobał, więc mi też powinien.	3
15	Nominacja za scenariusz pytaniem o zdrowie psychiczne Akademii Ona i on. Amibcje, milosc. Uda sie, nie uda. Historia jakich dziesiatki, a moze setki w filmach. Ciut inne dekoracje, ale reszta ograna. I za to tez nominacja? Wstyd.	6
16	Ja i mój świat - tylko to się liczy. Dlaczego tak nachalnie lansują ten film? Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	3
17	Gosling w La La land jest jak Jar Jar Binks w Gwiezdnych Wojnach. A wstawki musicalowe jak UFO w Modzie na Sukces.	3
18	Co za gniot ! Jak to możliwe, że coś takiego dostało 14 nominacji do Oscara ?? Banał pogania banał. Fabułka słabiutka. Emma Stone i Ryan Gosling nawet gdyby byli najlepszymi aktorami świata, to nic z tych ról by nie wycisnęli dobrego, bo te role to są totalne wydmuszki. Totalny brak głębi w tym filmidle. No i co z tego, że ładnie jest sfotografowany ? Żadna piosenka nie zapada w pamięci. Totalna porażka. Brak ...	3
19	??! Oscar dla Emmy Stone?! To jakieś kpiny! Lubie ją ale większego drewna niż jej gra w LLL dawno nie widziałam- stwierdzam to z przykrością bo bardzo czekałam na ten film. Scenografia, muzyka...ok. Reszta wołała o pomstę bo nieba..wyjąc..na kolanach.. w deszcz.	2
20	Dla Mnie film rewelacyjny Świetna gra aktorska, zdjęcia, reżyseria, muzyka i bije z tego filmu jakaś pozytywna energia. W natłoku tych wszystkich naszpikowanych CGI gniotów to prawdziwa perełka. Wzbudza nostalgie za starym dobrym kinem z Hollywood. Tak Mi się spodobał że wybiorę się jeszcze raz, a jeszcze nigdy nie byłem w kinie dwa razy na tym samym filmie	9
21	SUPER film...lub NUDA do potęgi! JEŻELI KTOŚ LUBI MUSICALE TO RACZEJ UZNA TEN FILM ZA REWELACJE!!! I SŁUSZNIE. Pięknie filmowany, zagrany, zatańczony, zaśpiewany itd... Ja mam prawo nie przepadać za musicalami i piosenkami w filmie...i nudziłem się jak mops:):) Poza genialnym HAIR nigdy żaden musical mnie nie zachwycił...Ale fajnie, że piękno tkwi w różnych gustach i guścikach. Poprzedni film reżysera ...	4
22	Arcy.... dzieło? Nie wiem czy widziałam ten sam film co reszta widzów oceniających między 7 a 10. Śmiem twierdzić, że nie ponieważ to co widziałam to na pewno nie było dzieło na miarę 14 Oscarów.	5
23	6/10 Widziałam, tyłka mi nie urwało i długo będę zastanawiać się nad tym dlaczego ten film dostał tyle Golden Globe. Owszem scena wprowadzająca na autostradzie bardzo fajnie nakręcona (bez cięć, wszystko perfekcyjnie dograne), ale jakoś nie jestem przekonana, że La La Land to arcydzieło zasługujące na Oscary. Fajny film, ale szału nie było. Wokalnie Emma Stone cieniutko, Gosling nieco lepiej. Szacun dla niego, że ...	5
24	Nudny film, ziewałem czekając kiedy się to skończy Film po prostu nudny, drętwy - niewiele się w nim dzieje. Scenariusz banalny, przewidywalny (np. wiadomo, że monodram bohaterki MUSI się skończyć klapą), sklecony byle jak. Główne przesłanie filmu podążaj za marzeniami wbrew wszystkiemu przedstawione nieudolnie, nieprzekonująco. Brak psychologicznej wiarygodności: widz nie wie dlaczego bohaterowie postępują tak a ...	4
25	nieporozumienie nie wiem co wy widzicie w tym filmie i za co on dostał tyle oscarów. okropny gorszego nie widziałem	1
26	La La ale nudy Ten film to pustka, wydmuszka nawet niezbyt ładnie pomalowana. Gdzie temu mdłemu dziełku do musicali tej rangi co Chicago czy Cabaret? Gra i taniec pary pierwszoplanowych aktorów są tak drewniane, że aż w 11 rzędzie w kinie słychać, jak skrzypi. Muzyka? Jaka muzyka? Ten wymęczony kawałek? Zero emocji, zero namiętności. Brak pomysłu. Ale co może dobra promocja....	1
27	Intrygujące zakończenie Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	10
28	Gęsia skórka Przez cały film czekałam na gęsia skórkę....doczekałam się , ale niestety nie była to zasługa filmu tylko nawiewu.	6
29	nawet nie oglądałem ale za ten debilny tytuł i plakat daję na 1/10 ps. robienie musicali powinno być zabronione	1
30	City of Stars Aż mi głupio pisać, ale ta piosenka jest genialna. Mmmmmm......	8
31	Nie wierze że to gówno dostało oscara. Nie twierdze że to zły film, mimo że nie przepadam za filmami tańca i śpiewu. Ale Oscar? Totalna porażka!	1
32	Przyjemny musical ale czy to jest arcydzieło ? Nie bardzo rozumiem tych wszystkich zachwytów nad La la landem. Film bardzo przyjemy, ze świetną muzyką (aczkolwiek jak dla mnie trochę tej muzyki za mało było ) i piękną kolorystyką. Ale do arcydzieła to mu jeszcze daleko.	7
33	Daje się oglądać od połowy D połowy to jest, niestety, smutne pierdzenie. Dopiero w połowie akcja zaczyna nabierać jakiegoś tempa. Strasznie nierówny film.	6
34	BLA BLA BLAND... czyli jak wypromować średi film do rangi arcydzieła Film nie jest zły. Można nawet powiedzieć że jest dosyć ciekawie zmontowany i zrealizowany ale... ale według mnie nie jest to arcydzieło godne wszystkich zachwytów, nagród i nominacji. Jak zwykle skuteczna promocja i sztuczne zamieszanie wokół filmu zrobiło swoje. Uwielbiam musicale!! Ten film to taki trochę musical a trochę film z dobrym ...	7
35	Po seansie - nie można mieć akwarium i rybek Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	8
36	Czuję Oscary Zwiastun zapowiada coś wyjątkowego, czuję że Stone i Gosling w końcu będą mieli szansę zabłysnąć na gali. Świetni aktorzy, którym chyba w końcu trafiła się okazja. Technicznie też może być bardzo dobrze, nie mogę się już doczekać seansu ;)	10
37	Cudowny, fantastyczny, świetny Jestem w szoku jak fantastyczny jest ten film. Mega przyjemny w odbiorze. Pozytywny. A filmowa para cudownie dobrana , chemia między nimi udziela się oglądających. Aż mi się smutno zrobiło jak film się skończył. Dla mnie arcydzieło. I świetna muzyka.	10
38	Plakat Ciekawy jest ten pierwszy plakat, taki w starym stylu, nienachalny. Szkoda, że jak tylko dojdzie do polskiej premiery, zostanie zamieniony na jakiegoś napchanego wszystkim co możliwe potworka.	7
39	Świetne zagranie w trailerze Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	7
40	4/10 Naprawdę ktoś to nominował do Oscara? Naprawdę, ale to NAPRAWDĘ nie rozumiem zachwytu tym dziełem. Żadnemu z wielkich musicali nie dorasta do pięt, ani gra aktorską - bo ile jej tu jest? Ani oprawą muzyczną, no wybaczcie, ale gdzie temu do takich dzieł jak Hair, Jesus Christ Superstar, Grease, Skrzypek na Dachu, czy nawet Mamma Mia to jest kosmos przy tym. Nigdy nie widziałem musicalu, w którym było tyle... ...	4
41	Rekord 7 Globów... No nieźle, nie mogę się doczekać.	9
42	Piękny, żywy, intensywny przykład na to, że ani teatr, ani książka nie jest w stanie tak zachwycić jak kino. Wielki triumf fantazji, wyobraźni, zabawy i Hollywood. MAGIA!	9
43	Polski akcent w La la land? :) Zauważyliście błękitnego fiata 126p pod koniec filmu? :D	10
44	PIĘKNIE OPAKOWANA PUSTA WYDMUSZKA!!! Poprzedni film tegoż reżysera WHIPLASH był wyśmienity, a tego nie kupuję Moim faworytem jest Monsters Call ale w tym roku hollywood tego filmu nie zauważył	4
45	Absolutną bajkaaa Cudowny, łagodny, przepiękny pod każdym względem	10
46	Czuję się oszukana. Poszłam na romantyczny musical. Miało być miło, słodko i przyjemnie, miało być zgodnie z gatunkiem, miało być do bólu szczęśliwie, miało być na poprawę humoru, a ten film mnie tylko przygnębił. Po co to zakończenie? Nie lubię niedopowiedzeń, ale wolałabym, żeby ten film skończyl się przed napisem 5 lat później. Jak można było zrobić coś takiego? Minęło 5 lat a Mia zdążyła zrobić karierę i wyjść ...	7
47	słaby poziom śpiewania, przereklamowany, ... nie wiem jak mogli wybrać aktorów którzy śpiewają po prostu przeciętnie, miaucząca Emma i niezapamiętywalna barwa Goslinga, jak sobie przypomnę zawodowy śpiew aktorów w innych musicalach (Zeta-Jones w Chicago, Ewan McGregor w Moulin Rouge...), przyjemny film do oglądania, ładny i barwny, ale banalny i stanowczo przereklamowany, a scena tańca w gwiazdach...non comments.	5
48	Jak to jest? Ciekawa sprawa z tym La La Landem, bo z jednej strony mówi się, że straszny hype związany z tym filmem, że przereklamowany a z drugiej strony, internet aż kipi od wypowiedzi, że beznadziejny, gniot, rozczarowujący aż można dojść do wniosku, że La La Land to jeden z najbardziej niedocenionych filmów :-) Szczególnie jeśli film się obejrzało a ma się o nim pozytywną opinię :-)	10
49	Nieporozumienie Nagroda za najlepszy film? Jakiś żart. Mocno średni film wygrywa Oscara dla najlepszego filmu... Oscary z roku na rok są coraz większym żartem. Choć w poprzednim roku z wyborem się zgadzałam, to w tym i 2 lata temu, zdecydowanie nie.	7
50	Przyznawanie temu filmowi ocenę 4 i niżej to już czyste hejterstwo. Dlaczego? Ponieważ jakkolwiek by nie był to film, który zachwyci wszystkich i trafi we wszystkie gusta, tak nie sposób obojętnie przejść obok warstwy muzycznej tego filmu, nie sposób nie docenić tego artyzmu w montażu, wizualizacji oraz scenerii oraz nie sposób uznać cały zamysł tego filmu za przeciętny. Damien Chazelle stworzył dzieło absolutnie ...	9
51	Eh Liczyłam na coś wow a ja po 15 min już zasypiałam, tragedia. Piosenki mega fajne, montaż bardzo dobry, ale reszta?! Zero chemii między Emmą a Ryanem. Nie rozumiem tylu nominacji do Oscara! Dała bym góra 2-3 nominacje. Gosling był mega sztywny, czy on połknął kij od szczotki na czas kręcenia filmu?! Nie chciałą bym więcej razy tego widzieć, wydałam tylko niepotrzebnie pieniądze.	3
52	Travolta wygrywa Nie widziałeś La La Li? Nic nie straciłeś. Obejrzyj Grease.	5
53	Ależ emocję... Ale emocje w filmie, tak nudnego i beznadziejnego filmu nie widziałem od lat, i najbardziej w napięciu trzymały Oscary za pomyłkę filmu buhahahahaha La La Sraj.	1
54	A wiec Bog istnieje:) Jestem zadowolony, ze Akademia (jaka by nie byla) generalnie wlasciwie docenila La la land. Co do muzyki, scenografii czy zdjec to te nagrody sa jak najbardziej zasluzone. Stone z Oscarem to jednak pewne naduzycie w koncu chociazby Portman byla lepsza, no ale da sie to jakos przelknac. Nominacje dla Goslinga, za scenariusz i najlepszy film byly kompletnie na wyrost i cale szczescie w tych ...	6
55	6 Oscarów! La La Land z 6 Oscarami! Super! Ale pomyłka na koniec - jak dla mnie - wyreżyserowana.	10
56	Przereklamowany Nie rozumiem zachwytu tym filmem. Bardzo przeciętny, nie mający nic wspólnego z musicalem. Nużąca historia, podkreślana słabą grą aktorów. Nadaje się na półkę z filmami od tvn-u.	3
57	9/10 To było genialne. Muzyka, stroje, tańce. Wszystko. Tylko czemu do cholery takie zakończenie ... ehh.	9
58	Przyjemnie się ogląda.. i to w sumie tyle La la land to kilka dobrych scen tanecznych, parę chwytliwych piosenek i dość przyzwoita gra aktorska. Na plus filmowi wychodzi fakt, że Chazelle nie skupił się głównie na romansie bohaterów, ale na ich marzeniach. Ciekawsza postać z tej pary - Mia jest początkującą aktorką, która walczy o to by zagrać w filmie i mimo wielu porażek nie poddaje się. Historia Sebastiana nie ...	7
59	Kojarzy mi się z Birdamen, jednak.. o dziwo Birdman był lepszy. Także no... w obydwu filmach (zdradza to już trailer) latają, obydwa są o ciężkim robieniu kariery w hollywood.... Ale w Birdmanie muzyka i klimat wygrywają. Plus o wiele lepsza gra aktorska... No i jakiś przekaz, coś do zastanowienia się. La la Land dla mnie nudny, zupełnie bez dobrych pieśni (poza pierwszą) i tańców (tańce wręcz drewniane...) Tylko ...	5
60	Niezły bigos. Nie rozumiem. Złotych globów, oscarowych nominacji, zachwytów i lalamanii. To wszystko już kiedyś było. W tym mdłym bigosie, w kapuście tanich romansideł i ckliwych musicali kręcą się wieprzowe kostki z Ginger i Fred, plasterki cielęciny z Casablanki z odrobiną czerwonego wina z Whiplash (nawet z udziałem Simmonsa) w które wepchnięto suszone śliwkami Ryan i Emma. Smacznego dla miłośników. PS. Oscar ...	5
61	Oglądało się całkiem przyjemnie, ale ogólnie to rozczarowałem się Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	6
62	Zakończenie wszystko zmienia Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	7
63	nie uważam się za profana jeśli chodzi o musicale, choć nie jest to mój ulubiony gatunek. Potrafię jednak je docenić a Hair czy Cały ten zgiełk to pozycje, do których regularnie powracam, bo nie sposób ani o nich zapomnieć ani się od ich uroku wyzwolić. A tutaj.... - żeby nie urazić jego gorących wielbicieli - niczym mnie nie przekonał. Ot, ładne , kolorowe, pocztówkowe obrazki, przyjemne melodyjki. I nieco wieje ...	6
64	Hmm Co za nudny szajs chociaż końcówka zaskakuje.No i niebieski Fiat 126.	1
65	Jest juz rekordzistą Globów, bedzie rekord Oscarowy!?? Trochę statystycznie..Mianowicie nie będę się rozwodził na filmem bo wszystko w zasadzie zostało już powiedziane. Nurtuje mnie jedno-patrzę na każdą z 14 nominacji i w zasadzie w każdej kategorii ma mocną pozycję. Zastanawiam się, czy z wielkiej trójki (Ben Hur, Powrót Króla, Titanic) dołączy 4 wielki właśnie La La Land i czy jest to w ogóle możliwe, bo Globy dały ...	9
